,0
DISH,3087388397.2144704
NWS,3483090573.5603986
LNC,4377013192.61271
RL,4688066389.4372225
NWL,5199080642.464091
DXC,5494682907.596217
ZION,5580630494.926905
ALK,5821105443.891284
NCLH,6124077672.800621
OGN,6294735012.78705
AIZ,6566777321.830942
MHK,6646159486.481602
SEE,6811300731.22932
NWSA,6826288176.690999
GNRC,7001178261.366502
CMA,7085601594.18069
FOX,7223599815.129747
WHR,7487325655.449751
NRG,7605096634.462672
DVA,7626328963.114915
IVZ,7741949210.251995
AAP,7801396442.646598
HAS,7813344685.489421
WRK,7966294036.785422
XRAY,8074147820.692341
RHI,8123455330.047237
FRT,8142845370.419711
AOS,8196218829.371331
HII,8348405751.272243
FFIV,8617077440.130436
PNW,8619803912.79202
UHS,8631013132.763649
FOXA,8921637148.466732
PNR,8923291067.619694
BBWI,8923649282.966095
BXP,9232228673.07252
VFC,9385428672.897211
ALLE,9630863724.81585
TPR,9676403038.668512
QRVO,9716313096.867592
AAL,9736405462.279078
CTLT,9931946006.46306
EMN,9967537868.288504
JNPR,9975677728.153118
CZR,10125264618.936039
REG,10452484191.827793
CDAY,10558334123.304752
HSIC,10593385890.874401
KMX,10763124383.935951
BIO,10823940277.647266
GL,10825531999.358568
TAP,10904911191.861347
BWA,10938253641.32829
CRL,10972605016.313305
MTCH,11103226546.78438
NI,11317642901.487854
CHRW,11366933343.103798
CCL,11429134054.490194
MAS,11472675381.607864
DPZ,11513073249.44535
TFX,11611745170.27333
JKHY,11706784658.231682
EQT,11752466979.85306
APA,11761361512.908247
CPT,11786307855.229498
HST,11929168654.923655
GEN,11997900989.232716
WDC,12004470808.024199
CE,12057315202.515537
KIM,12074581376.60438
WYNN,12075463653.06106
PKG,12140827741.77935
IP,12149073026.03492
VTRS,12302284173.78793
TECH,12382109181.52493
AKAM,12441553033.508598
PARA,12465156885.299435
SWK,12479509074.202553
PEAK,12536967560.742653
LDOS,12643065546.795786
TRMB,12674376082.01747
MKTX,12687853020.166193
NDSN,12720362055.667469
STX,12853895934.960077
PHM,12984539492.569414
SNA,12989582925.013718
KEY,13148893563.057613
L,13328913180.957312
LNT,13350818907.80373
UDR,13419704142.243174
SYF,13527068589.313744
POOL,13558143235.514402
CBOE,13727295280.026186
NTAP,13767719366.930054
EVRG,13819418061.459799
BEN,13828158647.998875
ESS,13858844813.077759
IPG,13875300501.67167
ETSY,13957440391.622894
TXT,13962183301.607891
BG,14240869771.068684
EXPE,14292855888.397875
AVY,14350888255.044584
TYL,14529969816.625502
MOS,14902435038.973951
LKQ,14928099961.295267
CF,14956003701.293352
J,14973610002.884356
LW,15034441500.184883
AXON,15104428499.14323
PTC,15110230905.956158
ZBRA,15127503724.322807
FMC,15185880072.995972
MRO,15286377734.419088
UAL,15300899768.415674
MGM,15321130348.293789
IRM,15411542658.57932
TER,15491957376.295425
FLT,15531798168.282904
RE,15675431136.5552
FDS,15704979568.852842
DGX,15740161909.310648
CPB,15929331255.75686
AMCR,16111447989.031597
SJM,16160113863.194733
AES,16188093481.147396
RVTY,16262980502.41311
ATO,16406620077.05102
TRGP,16496241094.555557
CFG,16522545356.603678
IEX,16635839123.900597
INCY,16663525687.319857
WRB,16684941600.978884
EXPD,16714423372.815178
MOH,16762325519.806204
TSN,16769987386.966446
BRO,16861608059.19151
LYV,16888418436.340044
SEDG,16945952977.669697
BR,17035087961.971098
